ID	age	sex	culture	age_m	longitudinal	adult	condition	conc	concern.exp	pat	hug	kiss	object	verbal	comf	cue2	hypoth	conc9prop
UG32	9	F	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG32	9	F	Uganda	9	N	Mother	experimental	Y	0.094632124	N	N	N	N	N	N	NA	N	NA
UG33	9	F	Uganda	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG33	9	F	Uganda	8	N	Mother	experimental	Y	0.065475	Y	N	N	N	N	Y	After	Y	NA
UG34	9	F	Uganda	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG34	9	F	Uganda	8	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG36	9	M	Uganda	9	NA	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG36	9	M	Uganda	9	NA	Mother	experimental	N	0	N	Y	N	N	N	Y	After	N	NA
UG37	9	F	Uganda	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG37	9	F	Uganda	8	N	Mother	experimental	Y	0.036431465	N	N	N	N	N	N	NA	N	NA
UG38	9	M	Uganda	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG38	9	M	Uganda	8	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG40	9	F	Uganda	8	NA	Mother	control	Y	0.18019	N	N	N	N	N	N	NA	Y	NA
UG40	9	F	Uganda	8	NA	Mother	experimental	Y	0.09298	N	N	N	N	N	N	NA	Y	NA
UG41	9	F	Uganda	9	NA	Mother	experimental	Y	0.18019	N	N	N	N	N	N	NA	Y	NA
UG42	9	M	Uganda	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG42	9	M	Uganda	8	N	Mother	experimental	Y	0.045529412	N	N	N	N	N	N	NA	N	NA
UG43	9	F	Uganda	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG43	9	F	Uganda	8	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG44	9	M	Uganda	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG44	9	M	Uganda	8	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG45	9	M	Uganda	8	NA	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG46	9	F	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG46	9	F	Uganda	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG47	9	M	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG47	9	M	Uganda	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG49	9	F	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG49	9	F	Uganda	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG50	9	F	Uganda	9	NA	Mother	experimental	N	0	N	N	N	N	N	N	NA	Y	NA
UG52	9	F	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG52	9	F	Uganda	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG53	9	M	Uganda	9	NA	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG54	9	M	Uganda	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG54	9	M	Uganda	8	N	Mother	experimental	Y	0.151976462	N	N	N	N	N	N	NA	N	NA
UG55	9	M	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG55	9	M	Uganda	9	N	Mother	experimental	Y	0.280133333	N	N	N	N	N	N	NA	N	NA
UG56	9	M	Uganda	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG56	9	M	Uganda	8	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG57	9	M	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG57	9	M	Uganda	9	N	Mother	experimental	N	0	N	N	N	Y	N	Y	Before	N	NA
UG59	9	F	Uganda	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG59	9	F	Uganda	8	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG60	9	F	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG60	9	F	Uganda	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG61	9	M	Uganda	8	NA	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG61	9	M	Uganda	8	NA	Mother	experimental	N	0	N	N	N	N	N	N	NA	Y	NA
UG62	9	F	Uganda	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG62	9	F	Uganda	8	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG63	9	M	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG63	9	M	Uganda	9	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG64	9	M	Uganda	8	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
UG64	9	M	Uganda	8	N	Mother	experimental	N	0	N	N	N	N	N	N	NA	N	NA
UG66	9	F	Uganda	9	N	Mother	control	N	0	N	N	N	N	N	N	NA	N	NA
